YEAR,VEHICLE,PURCHASER,DATE,DEAL
17,ELANTRA,AUTO LEASING,1/4/2019,
14,F150,AUTO LEASING,1/4/2019,
14,EXPEDITION,AUTO LEASING,1/4/2019,
14,F150,ALEXANDRIA,1/28/2019,
17,F150,DURHAM KIA,2/11/2019,
16,F150,DURHAM KIA,2/11/2019,
16,F150,DURHAM KIA,2/11/2019,
15,F150,DURHAM KIA,2/11/2019,
15,F150,DURHAM KIA,2/11/2019,
14,F150,ALEXANDRIA,2/7/2019,
8,F150,ALEXANDRIA,2/7/2019,
12,CIVIC,ALEXANDRIA,2/7/2019,
10,F350,ALEXANDRIA,2/7/2019,
11,F150,ALEXANDRIA,2/7/2019,
14,MIRAGE,PRESTIGE,2/15/2019,
15,PATHFINDER,PRESTIGE,2/15/2019,
12,ESCAPE,PRESTIGE,2/15/2019,
14,CRUZE,PRESTIGE,2/15/2019,
13,COOPER,PRESTIGE,2/15/2019,
16,NX200T,PRESTIGE,2/15/2019,
16,ODYSSEY,PRESTIGE,2/15/2019,
13,BMW 335X,PRESTIGE,2/15/2019,
5,CENTURY,SOCKET SCRAP,2/12/2019,
4,EXPEDITION,SOCKET SCRAP,2/12/2019,
4,F150,SOCKET SCRAP,2/12/2019,
7,CARAVAN,SOCKET SCRAP,2/12/2019,
10,JOURNEY,SOCKET SCRAP,2/12/2019,
7,MAZDA 5,SOCKET SCRAP,2/12/2019,
6,JETTA,SOCKET SCRAP,2/12/2019,
6,SENTRA,SOCKET SCRAP,2/12/2019,
12,BMW 528I,ALEXANDRIA,2/19/2019,
9,BMW 323,ALEXANDRIA,2/19/2019,
10,F150,ALEXANDRIA,2/19/2019,
9,F150,ALEXANDRIA,2/19/2019,
5,ACURA TL,ALEXANDRIA,2/19/2019,
16,F150,AUTO LEASING,2/12/2019,
16,F150,AUTO LEASING,2/12/2019,
16,F150,AUTO LEASING,2/12/2019,
17,F150,AUTO LEASING,2/12/2019,
17,RAM 1500,AUTO LEASING,2/21/2019,
13,F150,AUTO LEASING,2/21/2019,
12,F150,DURHAM KIA,2/28/2019,
13,F150,DURHAM KIA,2/28/2019,
13,F150,AUTO LEASING,1/30/2019,
11,RAM,AUTO LEASING,2/28/2019,
13,F150,AUTO LEASING,2/23/2019,
12,CARAVAN,AUTO LEASING,2/23/2019,
13,FUSION,AUTO LEASING,2/23/2019,
14,FOCUS,AUTO LEASING,2/23/2019,
15,TERRAIN,AUTO LEASING,2/23/2019,
10,F150,ALEXANDRIA,3/4/2019,
13,EDGE,ALEXANDRIA,3/4/2019,
12,EXPLORER,ALEXANDRIA,3/4/2019,
13,VW,ALEXANDRIA,3/4/2019,
10,F150,ALEXANDRIA,3/4/2019,
7,EXPLORER,ALEXANDRIA,3/14/2019,
17,ESCAPE,ALEXANDRIA,3/14/2019,
12,F150,ALEXANDRIA,3/14/2019,
6,ACURA TL,ALEXANDRIA,3/14/2019,
15,MAZDA 3,ALEXANDRIA,3/14/2019,
9,EDGE,AUTO LEASING,3/12/2019,
15,F150,AUTO LEASING,2/21/2019,
16,F150,AUTO LEASING,2/21/2019,
17,RAM 1500,AUTO LEASING,2/21/2019,
15,ATS,AUTO LEASING,3/17/2019,
15,F150,AUTO LEASING,3/17/2019,
3,G35,AUTO LEASING,3/17/2019,
14,F350,TURBOX,3/22/2019,
14,F150,TURBOX,3/22/2019,
9,F150,TURBOX,3/22/2019,
14,F150,TURBOX,3/22/2019,
14,F150,TURBOX,3/22/2019,
14,F150,TURBOX,3/22/2019,
13,F150,TURBOX,3/22/2019,
9,F150,TURBOX,3/22/2019,
15,SUBURBAN,TURBOX,3/22/2019,
4,F150,SOCKET SCRAP,3/28/2019,
6,FREESTAR,SOCKET SCRAP,3/28/2019,
6,MAGNUM,SOCKET SCRAP,3/28/2019,
3,OUTBACK,SOCKET SCRAP,3/28/2019,
6,MAZDA 3,SOCKET SCRAP,3/28/2019,
9,G6,SOCKET SCRAP,3/28/2019,
11,CIVIC,SOCKET SCRAP,3/28/2019,
3,SEBRING,SOCKET SCRAP,3/28/2019,
5,CARAVAN,SOCKET SCRAP,3/28/2019,
9,ESCAPE,SOCKET SCRAP,3/28/2019,
18,F150,AUTO LEASING,2/27/2019,
11,F150,AUTO LEASING,2/27/2019,
16,F150,AUTO LEASING,3/7/2019,
16,F150,AUTO LEASING,3/7/2019,
17,F150,AUTO LEASING,3/7/2019,
10,SRX,ALEXANDRIA,3/25/2019,
15,FOCUS,ALEXANDRIA,3/25/2019,
10,ESCAPE,ALEXANDRIA,3/25/2019,
8,TUCSON,ALEXANDRIA,3/25/2019,
5,COROLLA,ALEXANDRIA,3/25/2019,
6,RX400H,ALEXANDRIA,3/25/2019,
11,EDGE,ALEXANDRIA,3/25/2019,
17,F150,ADESA,3/19/2019,
16,F150,ADESA,3/22/2019,
16,F150,ADESA,3/22/2019,
15,F150,ADESA,3/22/2019,
16,F150,ADESA,3/22/2019,
17,F150,ADESA,3/22/2019,
17,F150,ADESA,3/22/2019,
17,F150,ADESA,3/22/2019,
18,F150,ADESA,3/22/2019,
18,F150,ADESA,3/22/2019,
18,F150,ADESA,3/22/2019,
16,F150,ADESA,3/22/2019,
16,F150,ADESA,3/22/2019,
16,F150,ADESA,3/22/2019,
16,F150,ADESA,3/22/2019,
14,WRANGLER,BRONTE AUTO,3/29/2019,
16,F150,ADESA,3/29/2019,
16,F150,ADESA,3/29/2019,
16,F150,ADESA,3/29/2019,
16,F150,ADESA,3/29/2019,
17,F150,ADESA,3/29/2019,
16,F150,ADESA,3/29/2019,
16,F150,ADESA,3/29/2019,
17,F150,ADESA,3/29/2019,
17,F150,ADESA,3/29/2019,
16,F150,ADESA,3/29/2019,
17,F150,ADESA,3/29/2019,
16,F150,MIDTOWN MTRS,3/28/2019,
17,F450,DURHAM KIA,4/1/2019,
16,ELANTRA,ALEXANDRIA,3/30/2019,
9,HUMMER H3,ALEXANDRIA,3/30/2019,
7,ALTIMA,ALEXANDRIA,3/30/2019,
11,SIERRA,ALEXANDRIA,3/30/2019,
13,F150,ALEXANDRIA,3/30/2019,
17,F150,ADESA,4/5/2019,
13,SILVERADO,ADESA,4/5/2019,
16,TRANSIT,ADESA,4/5/2019,
16,F150,ADESA,4/5/2019,
16,F150,ADESA,4/5/2019,
16,F150,ADESA,4/5/2019,
16,F150,ADESA,4/5/2019,
18,F150,ADESA,4/5/2019,
16,F150,ADESA,4/5/2019,
17,F150,ADESA,4/5/2019,
17,F150,ADESA,4/5/2019,
16,F150,ADESA,4/5/2019,
16,F350,ADESA,4/5/2019,
16,F350,ADESA,4/5/2019,
12,F250,ADESA,4/5/2019,
12,EXPLORER,ALEXANDRIA,4/8/2019,
9,ACADIA,ALEXANDRIA,4/8/2019,
